Units,Store,Date,DayOfWk,WeekdayVsWeekend,Football,Month
407,Str17xx,9/7/2016,Wed,Sun-Thu,none,Sep
439,Str17xx,9/8/2016,Thu,Sun-Thu,none,Sep
420,Str17xx,9/9/2016,Fri,Fri or Sat,none,Sep
198,Str17xx,9/10/2016,Sat,Fri or Sat,none,Sep
193,Str17xx,9/11/2016,Sun,Sun-Thu,none,Sep
422,Str17xx,9/12/2016,Mon,Sun-Thu,none,Sep
461,Str17xx,9/13/2016,Tue,Sun-Thu,none,Sep
450,Str17xx,9/14/2016,Wed,Sun-Thu,none,Sep
458,Str17xx,9/15/2016,Thu,Sun-Thu,none,Sep
539,Str17xx,9/16/2016,Fri,Fri or Sat,Football,Sep
327,Str17xx,9/17/2016,Sat,Fri or Sat,Football,Sep
236,Str17xx,9/18/2016,Sun,Sun-Thu,none,Sep
453,Str17xx,9/19/2016,Mon,Sun-Thu,none,Sep
498,Str17xx,9/20/2016,Tue,Sun-Thu,none,Sep
569,Str17xx,9/21/2016,Wed,Sun-Thu,none,Sep
461,Str17xx,9/22/2016,Thu,Sun-Thu,none,Sep
460,Str17xx,9/23/2016,Fri,Fri or Sat,none,Sep
216,Str17xx,9/24/2016,Sat,Fri or Sat,none,Sep
169,Str17xx,9/25/2016,Sun,Sun-Thu,none,Sep
492,Str17xx,9/26/2016,Mon,Sun-Thu,none,Sep
471,Str17xx,9/27/2016,Tue,Sun-Thu,none,Sep
474,Str17xx,9/28/2016,Wed,Sun-Thu,none,Sep
460,Str17xx,9/29/2016,Thu,Sun-Thu,none,Sep
490,Str17xx,9/30/2016,Fri,Fri or Sat,Football,Sep
327,Str17xx,10/1/2016,Sat,Fri or Sat,Football,Oct
236,Str17xx,10/2/2016,Sun,Sun-Thu,none,Oct
440,Str17xx,10/3/2016,Mon,Sun-Thu,none,Oct
443,Str17xx,10/4/2016,Tue,Sun-Thu,none,Oct
472,Str17xx,10/5/2016,Wed,Sun-Thu,none,Oct
507,Str17xx,10/6/2016,Thu,Sun-Thu,none,Oct
619,Str17xx,10/7/2016,Fri,Fri or Sat,Football,Oct
383,Str17xx,10/8/2016,Sat,Fri or Sat,Football,Oct
252,Str17xx,10/9/2016,Sun,Sun-Thu,none,Oct
437,Str17xx,10/10/2016,Mon,Sun-Thu,none,Oct
489,Str17xx,10/11/2016,Tue,Sun-Thu,none,Oct
434,Str17xx,10/12/2016,Wed,Sun-Thu,none,Oct
461,Str17xx,10/13/2016,Thu,Sun-Thu,none,Oct
399,Str17xx,10/14/2016,Fri,Fri or Sat,none,Oct
210,Str17xx,10/15/2016,Sat,Fri or Sat,none,Oct
230,Str17xx,10/16/2016,Sun,Sun-Thu,none,Oct
455,Str17xx,10/17/2016,Mon,Sun-Thu,none,Oct
454,Str17xx,10/18/2016,Tue,Sun-Thu,none,Oct
470,Str17xx,10/19/2016,Wed,Sun-Thu,none,Oct
458,Str17xx,10/20/2016,Thu,Sun-Thu,none,Oct
511,Str17xx,10/21/2016,Fri,Fri or Sat,Football,Oct
330,Str17xx,10/22/2016,Sat,Fri or Sat,Football,Oct
259,Str17xx,10/23/2016,Sun,Sun-Thu,none,Oct
442,Str17xx,10/24/2016,Mon,Sun-Thu,none,Oct
420,Str17xx,10/25/2016,Tue,Sun-Thu,none,Oct
453,Str17xx,10/26/2016,Wed,Sun-Thu,none,Oct
434,Str17xx,10/27/2016,Thu,Sun-Thu,none,Oct
422,Str17xx,10/28/2016,Fri,Fri or Sat,none,Oct
263,Str17xx,10/29/2016,Sat,Fri or Sat,none,Oct
243,Str17xx,10/30/2016,Sun,Sun-Thu,none,Oct
453,Str17xx,10/31/2016,Mon,Sun-Thu,none,Oct
469,Str17xx,11/1/2016,Tue,Sun-Thu,none,Nov
408,Str17xx,11/2/2016,Wed,Sun-Thu,none,Nov
1195,Str17xx,11/3/2016,Thu,Sun-Thu,none,Nov
471,Str17xx,11/4/2016,Fri,Fri or Sat,Football,Nov
359,Str17xx,11/5/2016,Sat,Fri or Sat,Football,Nov
240,Str17xx,11/6/2016,Sun,Sun-Thu,none,Nov
450,Str17xx,11/7/2016,Mon,Sun-Thu,none,Nov
473,Str17xx,11/8/2016,Tue,Sun-Thu,none,Nov
450,Str17xx,11/9/2016,Wed,Sun-Thu,none,Nov
442,Str17xx,11/10/2016,Thu,Sun-Thu,none,Nov
367,Str17xx,11/11/2016,Fri,Fri or Sat,none,Nov
263,Str17xx,11/12/2016,Sat,Fri or Sat,none,Nov
268,Str17xx,11/13/2016,Sun,Sun-Thu,none,Nov
456,Str17xx,11/14/2016,Mon,Sun-Thu,none,Nov
501,Str17xx,11/15/2016,Tue,Sun-Thu,none,Nov
465,Str17xx,11/16/2016,Wed,Sun-Thu,none,Nov
487,Str17xx,11/17/2016,Thu,Sun-Thu,none,Nov
285,Str17xx,11/18/2016,Fri,Fri or Sat,none,Nov
188,Str17xx,11/26/2016,Sat,Fri or Sat,none,Nov
192,Str17xx,11/27/2016,Sun,Sun-Thu,none,Nov
406,Str17xx,11/28/2016,Mon,Sun-Thu,none,Nov
444,Str17xx,11/29/2016,Tue,Sun-Thu,none,Nov
438,Str17xx,11/30/2016,Wed,Sun-Thu,none,Nov
512,Str17xx,12/1/2016,Thu,Sun-Thu,none,Dec
385,Str17xx,12/2/2016,Fri,Fri or Sat,none,Dec
230,Str17xx,12/3/2016,Sat,Fri or Sat,none,Dec
223,Str17xx,12/4/2016,Sun,Sun-Thu,none,Dec
493,Str17xx,12/5/2016,Mon,Sun-Thu,none,Dec
415,Str17xx,12/6/2016,Tue,Sun-Thu,none,Dec
506,Str17xx,12/7/2016,Wed,Sun-Thu,none,Dec
467,Str17xx,12/8/2016,Thu,Sun-Thu,none,Dec
399,Str17xx,12/9/2016,Fri,Fri or Sat,none,Dec
288,Str17xx,12/10/2016,Sat,Fri or Sat,none,Dec
320,Str17xx,12/11/2016,Sun,Sun-Thu,none,Dec
476,Str17xx,12/12/2016,Mon,Sun-Thu,none,Dec
428,Str17xx,12/13/2016,Tue,Sun-Thu,none,Dec
423,Str17xx,12/14/2016,Wed,Sun-Thu,none,Dec
156,Str17xx,1/8/2017,Sun,Sun-Thu,none,Jan
337,Str17xx,1/9/2017,Mon,Sun-Thu,none,Jan
346,Str17xx,1/10/2017,Tue,Sun-Thu,none,Jan
372,Str17xx,1/11/2017,Wed,Sun-Thu,none,Jan
391,Str17xx,1/12/2017,Thu,Sun-Thu,none,Jan
466,Str17xx,1/13/2017,Fri,Fri or Sat,none,Jan
273,Str17xx,1/14/2017,Sat,Fri or Sat,none,Jan
234,Str17xx,1/15/2017,Sun,Sun-Thu,none,Jan
275,Str17xx,1/16/2017,Mon,Sun-Thu,none,Jan
431,Str17xx,1/17/2017,Tue,Sun-Thu,none,Jan
424,Str17xx,1/18/2017,Wed,Sun-Thu,none,Jan
446,Str17xx,1/19/2017,Thu,Sun-Thu,none,Jan
447,Str17xx,1/20/2017,Fri,Fri or Sat,none,Jan
257,Str17xx,1/21/2017,Sat,Fri or Sat,none,Jan
262,Str17xx,1/22/2017,Sun,Sun-Thu,none,Jan
414,Str17xx,1/23/2017,Mon,Sun-Thu,none,Jan
584,Str17xx,1/24/2017,Tue,Sun-Thu,none,Jan
461,Str17xx,1/25/2017,Wed,Sun-Thu,none,Jan
460,Str17xx,1/26/2017,Thu,Sun-Thu,none,Jan
444,Str17xx,1/27/2017,Fri,Fri or Sat,none,Jan
305,Str17xx,1/28/2017,Sat,Fri or Sat,none,Jan
256,Str17xx,1/29/2017,Sun,Sun-Thu,none,Jan
372,Str17xx,1/30/2017,Mon,Sun-Thu,none,Jan
408,Str17xx,1/31/2017,Tue,Sun-Thu,none,Jan
480,Str17xx,2/1/2017,Wed,Sun-Thu,none,Feb
427,Str17xx,2/2/2017,Thu,Sun-Thu,none,Feb
423,Str17xx,2/3/2017,Fri,Fri or Sat,none,Feb
249,Str17xx,2/4/2017,Sat,Fri or Sat,none,Feb
220,Str17xx,2/5/2017,Sun,Sun-Thu,none,Feb
416,Str17xx,2/6/2017,Mon,Sun-Thu,none,Feb
468,Str17xx,2/7/2017,Tue,Sun-Thu,none,Feb
448,Str17xx,2/8/2017,Wed,Sun-Thu,none,Feb
378,Str17xx,2/9/2017,Thu,Sun-Thu,none,Feb
423,Str17xx,2/10/2017,Fri,Fri or Sat,none,Feb
266,Str17xx,2/11/2017,Sat,Fri or Sat,none,Feb
245,Str17xx,2/12/2017,Sun,Sun-Thu,none,Feb
423,Str17xx,2/13/2017,Mon,Sun-Thu,none,Feb
402,Str17xx,2/14/2017,Tue,Sun-Thu,none,Feb
461,Str17xx,2/15/2017,Wed,Sun-Thu,none,Feb
482,Str17xx,2/16/2017,Thu,Sun-Thu,none,Feb
463,Str17xx,2/17/2017,Fri,Fri or Sat,none,Feb
285,Str17xx,2/18/2017,Sat,Fri or Sat,none,Feb
216,Str17xx,2/19/2017,Sun,Sun-Thu,none,Feb
452,Str17xx,2/20/2017,Mon,Sun-Thu,none,Feb
424,Str17xx,2/21/2017,Tue,Sun-Thu,none,Feb
486,Str17xx,2/22/2017,Wed,Sun-Thu,none,Feb
499,Str17xx,2/23/2017,Thu,Sun-Thu,none,Feb
582,Str17xx,2/24/2017,Fri,Fri or Sat,none,Feb
641,Str17xx,2/25/2017,Sat,Fri or Sat,none,Feb
302,Str17xx,2/26/2017,Sun,Sun-Thu,none,Feb
480,Str17xx,2/27/2017,Mon,Sun-Thu,none,Feb
468,Str17xx,2/28/2017,Tue,Sun-Thu,none,Feb
442,Str17xx,3/1/2017,Wed,Sun-Thu,none,Mar
465,Str17xx,3/2/2017,Thu,Sun-Thu,none,Mar
213,Str18xx,9/7/2016,Wed,Sun-Thu,none,Sep
224,Str18xx,9/8/2016,Thu,Sun-Thu,none,Sep
232,Str18xx,9/9/2016,Fri,Fri or Sat,none,Sep
243,Str18xx,9/10/2016,Sat,Fri or Sat,none,Sep
149,Str18xx,9/11/2016,Sun,Sun-Thu,none,Sep
210,Str18xx,9/12/2016,Mon,Sun-Thu,none,Sep
201,Str18xx,9/13/2016,Tue,Sun-Thu,none,Sep
214,Str18xx,9/14/2016,Wed,Sun-Thu,none,Sep
251,Str18xx,9/15/2016,Thu,Sun-Thu,none,Sep
390,Str18xx,9/16/2016,Fri,Fri or Sat,Football,Sep
496,Str18xx,9/17/2016,Sat,Fri or Sat,Football,Sep
194,Str18xx,9/18/2016,Sun,Sun-Thu,none,Sep
199,Str18xx,9/19/2016,Mon,Sun-Thu,none,Sep
194,Str18xx,9/20/2016,Tue,Sun-Thu,none,Sep
212,Str18xx,9/21/2016,Wed,Sun-Thu,none,Sep
238,Str18xx,9/22/2016,Thu,Sun-Thu,none,Sep
249,Str18xx,9/23/2016,Fri,Fri or Sat,none,Sep
139,Str18xx,9/24/2016,Sat,Fri or Sat,none,Sep
161,Str18xx,9/25/2016,Sun,Sun-Thu,none,Sep
188,Str18xx,9/26/2016,Mon,Sun-Thu,none,Sep
193,Str18xx,9/27/2016,Tue,Sun-Thu,none,Sep
226,Str18xx,9/28/2016,Wed,Sun-Thu,none,Sep
217,Str18xx,9/29/2016,Thu,Sun-Thu,none,Sep
340,Str18xx,9/30/2016,Fri,Fri or Sat,Football,Sep
292,Str18xx,10/1/2016,Sat,Fri or Sat,Football,Oct
158,Str18xx,10/2/2016,Sun,Sun-Thu,none,Oct
194,Str18xx,10/3/2016,Mon,Sun-Thu,none,Oct
202,Str18xx,10/4/2016,Tue,Sun-Thu,none,Oct
214,Str18xx,10/5/2016,Wed,Sun-Thu,none,Oct
285,Str18xx,10/6/2016,Thu,Sun-Thu,none,Oct
432,Str18xx,10/7/2016,Fri,Fri or Sat,Football,Oct
447,Str18xx,10/8/2016,Sat,Fri or Sat,Football,Oct
228,Str18xx,10/9/2016,Sun,Sun-Thu,none,Oct
175,Str18xx,10/10/2016,Mon,Sun-Thu,none,Oct
185,Str18xx,10/11/2016,Tue,Sun-Thu,none,Oct
209,Str18xx,10/12/2016,Wed,Sun-Thu,none,Oct
251,Str18xx,10/13/2016,Thu,Sun-Thu,none,Oct
205,Str18xx,10/14/2016,Fri,Fri or Sat,none,Oct
189,Str18xx,10/15/2016,Sat,Fri or Sat,none,Oct
157,Str18xx,10/16/2016,Sun,Sun-Thu,none,Oct
192,Str18xx,10/17/2016,Mon,Sun-Thu,none,Oct
210,Str18xx,10/18/2016,Tue,Sun-Thu,none,Oct
212,Str18xx,10/19/2016,Wed,Sun-Thu,none,Oct
211,Str18xx,10/20/2016,Thu,Sun-Thu,none,Oct
452,Str18xx,10/21/2016,Fri,Fri or Sat,Football,Oct
457,Str18xx,10/22/2016,Sat,Fri or Sat,Football,Oct
187,Str18xx,10/23/2016,Sun,Sun-Thu,none,Oct
178,Str18xx,10/24/2016,Mon,Sun-Thu,none,Oct
167,Str18xx,10/25/2016,Tue,Sun-Thu,none,Oct
159,Str18xx,10/26/2016,Wed,Sun-Thu,none,Oct
206,Str18xx,10/27/2016,Thu,Sun-Thu,none,Oct
266,Str18xx,10/28/2016,Fri,Fri or Sat,none,Oct
227,Str18xx,10/29/2016,Sat,Fri or Sat,none,Oct
162,Str18xx,10/30/2016,Sun,Sun-Thu,none,Oct
195,Str18xx,10/31/2016,Mon,Sun-Thu,none,Oct
172,Str18xx,11/1/2016,Tue,Sun-Thu,none,Nov
191,Str18xx,11/2/2016,Wed,Sun-Thu,none,Nov
566,Str18xx,11/3/2016,Thu,Sun-Thu,none,Nov
386,Str18xx,11/4/2016,Fri,Fri or Sat,Football,Nov
389,Str18xx,11/5/2016,Sat,Fri or Sat,Football,Nov
168,Str18xx,11/6/2016,Sun,Sun-Thu,none,Nov
177,Str18xx,11/7/2016,Mon,Sun-Thu,none,Nov
221,Str18xx,11/8/2016,Tue,Sun-Thu,none,Nov
205,Str18xx,11/9/2016,Wed,Sun-Thu,none,Nov
254,Str18xx,11/10/2016,Thu,Sun-Thu,none,Nov
308,Str18xx,11/11/2016,Fri,Fri or Sat,none,Nov
318,Str18xx,11/12/2016,Sat,Fri or Sat,none,Nov
169,Str18xx,11/13/2016,Sun,Sun-Thu,none,Nov
198,Str18xx,11/14/2016,Mon,Sun-Thu,none,Nov
225,Str18xx,11/15/2016,Tue,Sun-Thu,none,Nov
203,Str18xx,11/16/2016,Wed,Sun-Thu,none,Nov
